id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
20647319,"Sunny, Modern 1-Bed Apartment near Prestigious Louise Avenue",2132782,Antoine,,Ixelles,50.83087,4.36276,Entire home/apt,72,2,77,2019-10-28,2.88,7,47
20659597,Room at Brussels - Bed and breakfast,26744343,Sergio,,Auderghem,50.81863,4.41321,Private room,35,1,88,2019-08-28,3.31,3,262
20671331,Large bedroom in cosy flat next to city centre,17137792,Max,,Koekelberg,50.86349,4.33237,Private room,35,3,106,2019-10-29,3.92,1,329
20673816,Bel Appart Berlaymont Quartier EU (Sakura),147920312,Yumi,,Bruxelles,50.84544,4.38494,Entire home/apt,100,1,4,2019-09-08,0.15,2,106
20675918,Bright and spacious flat in the heart of Brussels,15105346,Kaat,,Bruxelles,50.85348,4.34338,Entire home/apt,98,4,14,2019-11-14,0.54,1,45
20677172,02 Little Nest,1125222,Papy,,Saint-Gilles,50.83281,4.35477,Entire home/apt,55,2,95,2019-10-26,3.62,2,258
20678823,Bel Appart Berlaymont Quartier EU (Fuji),147920312,Yumi,,Bruxelles,50.84547,4.3833,Entire home/apt,115,1,24,2019-11-03,0.91,2,107
20684344,"Maison 3 chambres, très lumineuse",13728671,Xavier,,Woluwe-Saint-Lambert,50.84907,4.41881,Entire home/apt,80,2,66,2019-11-12,2.76,1,230
20689642,Cosy Studio - 15 min to the center,143131438,Yahya,,Anderlecht,50.83684,4.31061,Entire home/apt,30,2,2,2017-09-17,0.08,4,0
20695404,Private room in Brussels (Anderlecht),63616832,Sy Bach,,Anderlecht,50.82464,4.29499,Private room,30,3,102,2019-11-01,3.80,3,58
20699064,Duplex cosy 6 pers+2 Bathrooms+Free parking,148159319,Olga & Hugo,,Anderlecht,50.82516,4.30292,Entire home/apt,89,1,26,2019-07-08,1.13,3,312
20705101,A room in the center of Brussels,49408107,Maria,,Bruxelles,50.85619,4.34602,Private room,25,3,1,2017-12-31,0.04,1,0
20705947,"Big room, bright appartement, close to city center",148226115,Julien,,Molenbeek-Saint-Jean,50.86531,4.33994,Private room,40,5,5,2017-10-30,0.19,1,0
20709873,Cosy room in the heart of BXL,44094031,Klee,,Saint-Gilles,50.82915,4.35447,Private room,45,2,37,2019-10-24,1.41,1,365
20720208,Flat centre of Brussels - rue des Capucins (39-2D),148363463,Simon,,Bruxelles,50.83778,4.34734,Entire home/apt,38,30,4,2019-08-31,0.20,13,309
20724467,Room with sofa bed - close to EU institutions,10960118,Marton,,Auderghem,50.82594,4.40351,Private room,30,1,6,2017-10-29,0.23,1,0
20728204,Sunny double room in Uccle,15580367,Chloe,,Uccle,50.79868,4.34195,Private room,25,2,6,2017-11-24,0.23,1,0
20738160,EU-Parliament: little cosy room: light & very calm,131652946,Harm,,Ixelles,50.83764,4.37449,Private room,65,1,28,2019-11-14,1.04,1,2
20739992,Bright studio @Schuman and Cinquantenaire(LC79/12),45576129,Patrick,,Bruxelles,50.84545,4.38829,Entire home/apt,62,14,4,2019-10-01,0.18,10,215
20741065,Grand Place - Cosy  1 bedroom,19293722,Pauline Et Elliot,,Bruxelles,50.84785,4.35206,Entire home/apt,80,3,78,2019-10-27,2.94,80,55
20746433,PRIVATE ROOM&DOUBLE BED! Free parking!,80096754,Mine,,Uccle,50.78854,4.3444,Private room,25,1,102,2019-09-09,3.81,5,4
20754556,Duplex flat Brussels - rue des Capucins (39-3G),148363463,Simon,,Bruxelles,50.83824,4.34846,Entire home/apt,43,30,1,2018-06-16,0.06,13,292
20756198,Bright attic suite 200m from European Institutions,8916222,Daniel,,Bruxelles,50.84548,4.38728,Private room,57,1,56,2019-11-14,2.13,1,320
20756680,PRIVATE STUDIO - La Cambre - Flagey - Louise - ULB,140354676,Catherine,,Bruxelles,50.81824,4.37269,Entire home/apt,34,4,28,2019-10-26,1.04,1,297
20757013,chambre de charme avec salle de bain,105421432,Rette,,Uccle,50.81277,4.3607,Private room,49,2,8,2019-10-21,0.31,2,57
20760682,Cosy & lovely apartment,6842103,Romain,,Ixelles,50.81539,4.38935,Entire home/apt,65,5,8,2018-07-02,0.31,1,0
20768297,Appartement idéal pour découvrir Bruxelles,148776553,Marcel Et Rebecca,,Molenbeek-Saint-Jean,50.86291,4.33467,Entire home/apt,55,1,155,2019-11-03,6.06,1,252
20770525,bright apartment with a garden nearby Place Flagey,20888606,Julien,,Ixelles,50.82784,4.37989,Entire home/apt,79,2,12,2019-08-04,0.46,1,45
20776332,Studio cosy +parking+metro,148159319,Olga & Hugo,,Anderlecht,50.82567,4.30328,Entire home/apt,60,1,86,2019-09-15,3.27,3,323
20776470,4 pers BIG Appart + free parking+Métro,148159319,Olga & Hugo,,Anderlecht,50.82573,4.30129,Entire home/apt,72,1,58,2019-10-21,2.22,3,334
20778388,Duplex moderne105m2. Tout équipé. Proche Gare midi,32333276,Soraya,,Anderlecht,50.83841,4.3222,Entire home/apt,80,2,24,2019-11-11,2.23,1,241
20778544,Chatelain exceptional apartment,144950458,Dimitri,,Bruxelles,50.8213,4.36759,Entire home/apt,180,2,14,2019-11-03,0.53,2,162
20781774,Private room in city center!,63715494,Burger,,Bruxelles,50.85236,4.34419,Private room,25,2,1,2017-09-15,0.04,1,0
20785049,Charming quiet appartment in Brussels,5817989,Phitsamone,,Uccle,50.80593,4.35975,Entire home/apt,80,5,8,2019-06-27,0.37,1,106
20785102,Prívate room  in green and quiet Boitsfort 1,17365431,Céline,,Watermael-Boitsfort,50.80715,4.41608,Private room,20,2,13,2019-05-25,1.70,1,0
20796603,Duplex : historic centre of Brussels,95116014,Valérie,,Bruxelles,50.84664,4.35419,Entire home/apt,80,2,145,2019-11-16,5.62,4,313
20799261,Lovely Corner,120891364,Adrien,,Bruxelles,50.84787,4.34919,Entire home/apt,115,2,93,2019-11-04,3.48,6,70
20799399,Le Flora,120891364,Adrien,,Bruxelles,50.84829,4.35141,Entire home/apt,115,2,92,2019-11-04,3.47,6,41
20800146,Bright & cosy studio 50m from the Grande Place,149125942,Florence,,Bruxelles,50.84558,4.35052,Entire home/apt,79,3,18,2019-02-17,0.68,1,0
20808288,Art deco house with two rooms,880092,Jessica,,Jette,50.8761,4.33337,Entire home/apt,220,2,5,2019-09-08,0.25,1,337
20808979,Chambre près du parc du cinquantenaire,33595244,Angélique,,Etterbeek,50.83782,4.39815,Private room,30,1,0,,,1,0
20814538,Cozy room (in the living room) near ULB,106922979,Lina,,Ixelles,50.82128,4.37946,Shared room,35,1,14,2019-09-20,0.52,2,317
20822982,Agréable appartement dans un quartier vert de Bxl,20411207,Joelle & Freddy,,Woluwe-Saint-Pierre,50.83418,4.44057,Entire home/apt,60,3,1,2017-09-24,0.04,1,0
20840264,Chambre spacieuse et lumineuse à Forest,4245150,Jeanne,,Forest,50.80931,4.32942,Private room,30,2,1,2017-09-22,0.04,1,0
20845083,Bel appart 2 chambres confort - AV. LOUISE,19293722,Pauline Et Elliot,,Bruxelles,50.81602,4.37281,Entire home/apt,85,2,35,2019-10-31,1.36,80,67
20872805,À cosy central apartment,40533997,Cecile,,Bruxelles,50.85548,4.35478,Entire home/apt,70,1,132,2019-10-30,5.06,3,328
20879068,Chez Françoise,149928788,Francoise,,Auderghem,50.81867,4.40948,Private room,47,1,49,2019-11-15,1.88,3,329
20881103,"Appart de Comfort Bruxelles Centre, 2min Bus-Metro",149950250,Yanis,,Saint-Josse-ten-Noode,50.85291,4.37323,Entire home/apt,45,1,0,,,1,0
20883158,Modern appartement in heart of Brussels - Laeken,22564746,Julie,,Bruxelles,50.87517,4.36053,Entire home/apt,55,2,18,2019-10-20,1.22,1,0
20884377,Cozy room near Midi Station,52681028,Atanas,,Anderlecht,50.83797,4.33123,Private room,26,2,63,2019-10-30,2.36,2,0
20893067,Elegant flat on Avenue Louise,21192267,Alexander,,Bruxelles,50.8159,4.3721,Entire home/apt,60,1,9,2019-02-25,0.60,1,0
20899434,appart lemonier,150143318,Djama,,Bruxelles,50.84065,4.34079,Entire home/apt,70,3,8,2019-09-22,0.31,1,30
20903023,Nice bedroom in a Quiet and friendly apartment.,150175581,Nabil,,Bruxelles,50.84301,4.34567,Private room,45,2,20,2019-06-18,0.99,1,0
20907575,"Bright, Spacious Art Deco Flat in <3 of EU Quarter",2430092,Amy,,Bruxelles,50.84277,4.36939,Entire home/apt,100,2,146,2019-11-14,5.73,1,282
20911461,Leslie's  Spare BedRoom,150063743,Leslie,,Etterbeek,50.83377,4.38916,Private room,28,1,57,2019-06-20,2.24,1,0
20911949,Chez Ale et Thomas,50348607,Ale & Thomas,,Jette,50.87011,4.3275,Private room,45,2,31,2018-11-04,1.17,1,231
20916231,Appartement entier à Bruxelles,105287475,Ntoyi,,Ixelles,50.83552,4.36651,Entire home/apt,35,10,0,,,1,0
20923032,Chambre privée dans penthouse,150395522,Victor,,Bruxelles,50.84916,4.35418,Private room,50,1,23,2018-08-20,0.87,1,0
20924348,Stunning 2BR Villa in Central Sablon *Sleeps 6,19427428,Sweet Inn,,Bruxelles,50.84293,4.35608,Entire home/apt,160,2,31,2019-11-11,1.18,67,343
20928044,Lovely bedroom in an Ixelles' shared house,15617048,Oscar,,Bruxelles,50.82737,4.36446,Private room,27,3,6,2019-05-24,0.23,1,0
